Month,Day,Year,CaptureTime,BandNumber,Species,Age,Sex,Wing,Mass_g,Culmen,Hallux,Tail,StandardTail,Tarsus,WingPitFat,KeelFat,Crop
10,16,1994,12:05,1387-79132,Red-tailed,I,NA,363,1090,26.6,28.8,202,NA,NA,NA,NA,NA
10,16,1994,11:30,1207-64615,Red-tailed,I,NA,450,1190,30.3,32.8,226,NA,NA,NA,NA,NA
10,18,1994,10:00,1287-79133,Red-tailed,I,NA,380,960,25.6,30.1,220,NA,NA,NA,NA,NA
10,18,1994,12:35,1387-79134,Red-tailed,I,NA,385,955,26.3,30.1,215,NA,NA,NA,NA,NA
10,18,1994,13:30,1387-79135,Red-tailed,I,NA,385,1110,24.7,30.2,122,NA,NA,NA,NA,NA
10,19,1994,10:46,1387-79136,Red-tailed,I,NA,380,900,24,26.5,215,NA,NA,NA,NA,NA
10,19,1994,11:27,1387-79137,Red-tailed,I,NA,384,1075,26.5,30.7,208,NA,NA,NA,NA,NA
10,19,1994,12:15,1387-79138,Red-tailed,I,NA,373,980,27.9,32.1,211,NA,NA,NA,NA,NA
10,19,1994,12:55,1387-79139,Red-tailed,I,NA,381,940,27.8,34.2,220,NA,NA,NA,NA,NA
10,19,1994,13:35,1387-79140,Red-tailed,I,NA,363,1070,25.6,30.4,204,NA,NA,NA,NA,NA
10,19,1994,13:50,1387-79141,Red-tailed,I,NA,409,1120,29.4,31.6,229,NA,NA,NA,NA,NA
10,20,1994,12:00,1387-79142,Red-tailed,A,NA,390,1060,27.6,29,205,NA,NA,NA,NA,NA
10,23,1994,11:06,1387-79143,Red-tailed,I,NA,420,1125,27.2,27.4,244,NA,NA,NA,NA,NA
10,23,1994,11:36,1387-79144,Red-tailed,I,NA,381,1100,27,28.2,225,NA,NA,NA,NA,NA
10,23,1994,13:09,1207-64616,Red-tailed,I,NA,408,1360,30,33.9,239,NA,NA,NA,NA,NA
10,23,1994,14:25,1387079145,Red-tailed,I,NA,388,995,26.7,30.7,222,NA,NA,NA,NA,NA
10,23,1994,15:00,1387-79146,Red-tailed,A,NA,398,1095,21.1,31.4,209,NA,NA,NA,NA,NA
10,25,1994,14:00,1387-079147,Red-tailed,A,NA,394,1075,25.5,29.7,211,NA,NA,NA,NA,NA
10,26,1994,11:39,1387-79148,Red-tailed,I,NA,394,1140,26.8,29.2,216,NA,NA,NA,NA,NA
10,26,1994,14:55,1207-64617,Red-tailed,I,NA,416,1240,27.9,31.8,250,NA,NA,NA,NA,NA
10,26,1994,15:40,1207-64618,Red-tailed,I,NA,445,1465,29.7,34.6,260,NA,NA,NA,NA,NA
10,27,1994,10:55,1387-79149,Red-tailed,I,NA,388,1105,26.7,28.9,217,NA,NA,NA,NA,NA
10,27,1994,11:50,1387-79150,Red-tailed,I,NA,397,1010,27.1,31.4,228,NA,NA,NA,NA,NA
10,27,1994,12:24,1387-79151,Red-tailed,I,NA,384,1075,26.3,30.5,218,NA,NA,NA,NA,NA
10,27,1994,13:37,1387-79152,Red-tailed,I,NA,379,1060,27.9,30.9,220,NA,NA,NA,NA,NA
10,28,1994,10:05,1387-79199,Red-tailed,I,NA,393,1015,27.6,31.1,227,NA,NA,NA,NA,NA
10,28,1994,10:45,1387-79153,Red-tailed,I,NA,386,1100,26,30.2,211,NA,NA,NA,NA,NA
10,29,1994,11:05,1387-79154,Red-tailed,I,NA,397,1010,25,30.6,222,NA,NA,NA,NA,NA
10,29,1994,11:50,1387-79155,Red-tailed,I,NA,382,1000,26.3,30.1,225,NA,NA,NA,NA,NA
11,1,1994,10:45,1387-79156,Red-tailed,I,NA,386,980,25.4,30.2,221,NA,NA,NA,NA,NA
11,1,1994,11:21,1387-79157,Red-tailed,I,NA,417,1240,28.7,32.4,231,NA,NA,NA,NA,NA
11,2,1994,11:41,1387-79158,Red-tailed,I,NA,403,1360,27.9,33.1,235,NA,NA,NA,NA,NA
11,2,1994,12:20,1207-64619,Red-tailed,I,NA,401,1405,29.1,82.8,235,NA,NA,NA,NA,NA
11,2,1994,14:52,1387-79159,Red-tailed,A,NA,377,1055,27,29.1,200,NA,NA,NA,NA,NA
11,6,1994,9:55,1207-64620,Red-tailed,A,NA,432,1670,27.1,32.9,216,NA,NA,NA,NA,NA
11,6,1994,10:30,1207-64621,Red-tailed,I,NA,390,1250,26.2,30.5,223,NA,NA,NA,NA,NA
11,6,1994,11:40,1387-79160,Red-tailed,I,NA,381,1030,25.3,29.9,210,NA,NA,NA,NA,NA
11,7,1994,11:22,1387-79161,Red-tailed,I,NA,403,1040,NA,29.9,229,NA,NA,NA,NA,NA
11,9,1994,15:02,1807-53101,Red-tailed,I,NA,390,1090,26.2,28.8,226,NA,NA,NA,NA,NA
11,11,1994,11:59,1387-79162,Red-tailed,A,NA,386,1050,28.4,29.4,207,NA,NA,NA,NA,NA
11,11,1994,14:42,1387-79163,Red-tailed,I,NA,402,1110,26.1,30,238,NA,NA,NA,NA,NA
11,15,1994,11:40,1387-79164,Red-tailed,A,NA,374,1010,24.9,30.1,197,NA,NA,NA,NA,NA
11,16,1994,11:15,1807-53103,Red-tailed,I,NA,358,880,24.2,28.7,250,NA,NA,NA,NA,NA
11,16,1994,12:19,1387-79165,Red-tailed,I,NA,370,1060,24.3,29.8,215,NA,NA,NA,NA,NA
11,21,1994,10:40,1387-79166,Red-tailed,I,NA,390,920,25.7,30,214,NA,NA,NA,NA,NA
11,21,1994,13:33,1387-79167,Red-tailed,I,NA,398,1195,26.2,29.8,230,NA,NA,NA,NA,NA
9,8,1995,13:30,1387-170,Red-tailed,I,NA,360,890,26,28.4,213,NA,NA,NA,NA,NA
9,8,1995,14:20,1387-79171,Red-tailed,I,NA,355,900,25.3,29,214,NA,NA,NA,NA,NA
9,13,1995,14:30,1207-64623,Red-tailed,A,NA,375,1110,22.2,31.5,224,NA,NA,NA,NA,NA
9,17,1995,12:15,1387-79173,Red-tailed,I,NA,409,1100,29,32.6,215,NA,NA,NA,NA,NA
9,18,1995,15:10,1207-64624,Red-tailed,I,NA,415,1285,29.5,31.8,239,NA,NA,NA,NA,NA
9,20,1995,10:50,1387-79174,Red-tailed,I,NA,363,920,26.8,30.2,214,NA,NA,NA,NA,NA
9,23,1995,10:10,1387-79175,Red-tailed,I,NA,381,1025,25.4,30.8,232,NA,NA,NA,NA,NA
9,26,1995,11:05,1387-79176,Red-tailed,A,NA,350,940,26,29.1,205,NA,NA,NA,NA,NA
9,26,1995,13:03,1387-79177,Red-tailed,I,NA,398,1240,28.5,30.8,243,NA,NA,NA,NA,NA
9,26,1995,12:55,1207-64625,Red-tailed,I,NA,412,1160,27.8,33,255,NA,NA,NA,NA,NA
9,27,1995,12:50,1387-79178,Red-tailed,I,NA,411,1240,26.8,32.7,276,NA,NA,NA,NA,NA
9,27,1995,13:55,1807-53104,Red-tailed,I,NA,373,930,24.4,27.4,210,NA,NA,NA,NA,NA
10,1,1995,12:04,1207-64626,Red-tailed,I,NA,415,1240,25.6,31.2,231,NA,NA,NA,NA,NA
10,1,1995,12:50,1387-79179,Red-tailed,I,NA,383,1030,25.2,29.8,216,NA,NA,NA,NA,NA
10,3,1995,11:20,1387-79180,Red-tailed,I,NA,390,1250,26.5,32,210,NA,NA,NA,NA,NA
10,3,1995,11:45,1387-79181,Red-tailed,I,NA,390,999,25.3,29.8,220,NA,NA,NA,NA,NA
10,4,1995,12:20,1387-79182,Red-tailed,A,NA,365,1120,26.5,30.8,260,NA,NA,NA,NA,NA
10,4,1995,12:54,1387-79183,Red-tailed,A,NA,345,1000,26.4,30.1,200,NA,NA,NA,NA,NA
10,6,1995,12:15,1207-64627,Red-tailed,I,NA,400,1040,27.7,32.1,230,NA,NA,NA,NA,NA
